id,annual_income,debt_to_income_ratio,credit_score,loan_amount,interest_rate,gender,marital_status,education_level,employment_status,loan_purpose,grade_subgrade,loan_paid_back
404674,52470.61,0.241,724,27172.82,13.35,Male,Married,PhD,Employed,Debt consolidation,C2,loan paid
549728,28424.82,0.033,779,15895.96,11.57,Male,Married,Other,Employed,Other,B2,loan paid
125237,25229.55,0.195,569,15216.06,13.83,Female,Single,Master's,Employed,Debt consolidation,F5,loan default
512666,91612.58,0.166,659,13166.9,12.47,Female,Single,Master's,Employed,Medical,D1,loan paid
101001,79712.79,0.079,767,23642.37,11.23,Male,Single,Bachelor's,Employed,Education,B1,loan paid
331529,53963.04,0.19,710,20234.96,10.79,Male,Married,Bachelor's,Employed,Debt consolidation,C1,loan paid
260774,24891.78,0.127,775,20487.42,8.79,Female,Married,High School,Employed,Car,B3,loan paid
138870,21624.81,0.153,824,22473.34,7.7,Female,Single,Bachelor's,Unemployed,Debt consolidation,A5,loan paid
585176,13307.63,0.081,632,27170.26,12.47,Male,Married,Bachelor's,Self-employed,Debt consolidation,D5,loan paid
466795,60743.82,0.081,743,13195.24,13.32,Female,Married,Bachelor's,Employed,Business,B2,loan paid
50494,18649.67,0.05,572,16072.49,16.06,Female,Married,Other,Employed,Business,F1,loan paid
43113,43470.82,0.039,611,9282.39,12.18,Female,Single,Master's,Employed,Car,D4,loan default
282900,34369.4,0.087,727,14822.84,18.12,Male,Married,Bachelor's,Employed,Debt consolidation,C2,loan paid
231236,28644.34,0.299,663,10656.09,12.02,Female,Married,Bachelor's,Employed,Debt consolidation,D5,loan paid
125679,19233.22,0.064,740,6610.74,11.33,Male,Married,Master's,Unemployed,Debt consolidation,B3,loan paid
55528,26793.41,0.063,722,905.34,11.71,Female,Married,Bachelor's,Employed,Debt consolidation,C5,loan paid
36809,28336.51,0.094,620,12082.39,12.82,Male,Divorced,Bachelor's,Employed,Debt consolidation,D2,loan paid
420758,53793.17,0.129,712,1838.87,12.8,Female,Single,Bachelor's,Employed,Medical,C1,loan paid
50444,53981.6,0.13,764,9789.15,13.13,Female,Divorced,High School,Employed,Debt consolidation,B2,loan paid
283873,23772.9,0.082,738,4109.59,12.92,Male,Divorced,High School,Employed,Debt consolidation,C2,loan paid
110254,155380.35,0.115,714,4408.74,11.29,Male,Single,High School,Employed,Debt consolidation,C5,loan paid
545677,82432.77,0.196,678,2318.15,14.35,Male,Single,High School,Unemployed,Business,C5,loan default
405426,36805.34,0.218,724,11479.28,10.57,Female,Single,Bachelor's,Employed,Other,C4,loan paid
362091,36365.43,0.097,665,12230.01,10.56,Male,Single,Bachelor's,Employed,Business,D2,loan paid
266016,61705.1,0.111,609,15829.53,12.57,Female,Single,Bachelor's,Retired,Debt consolidation,E1,loan paid
248605,43151.13,0.071,703,23453.93,8.45,Female,Single,Bachelor's,Employed,Home,C2,loan paid
136525,61398.69,0.084,622,12490.53,13.93,Male,Married,High School,Employed,Debt consolidation,D4,loan default
128399,149840.32,0.082,593,31329.42,16.45,Male,Married,Master's,Employed,Other,E2,loan paid
564563,59615.44,0.093,684,25806.86,13.66,Female,Married,Bachelor's,Employed,Business,C4,loan paid
270861,44202.33,0.186,789,27864.01,10.74,Male,Married,Bachelor's,Retired,Debt consolidation,B2,loan paid
472005,73356.44,0.093,568,13689.34,14.19,Female,Single,Bachelor's,Employed,Debt consolidation,F3,loan paid
447496,159005.47,0.262,712,11906.06,13.91,Male,Married,High School,Employed,Debt consolidation,C5,loan paid
127539,18012.1,0.179,706,7256.8,12.73,Male,Married,Master's,Employed,Debt consolidation,C5,loan paid
457188,66817.28,0.051,715,8174.38,13.4,Female,Single,Bachelor's,Employed,Debt consolidation,C5,loan paid
13781,51959.02,0.26,592,6999.77,11.6,Female,Married,Bachelor's,Employed,Debt consolidation,E5,loan paid
489841,34733.97,0.068,649,15930.88,10.71,Female,Married,High School,Employed,Debt consolidation,D3,loan paid
3540,64772.52,0.138,716,6690.18,12.16,Male,Single,High School,Employed,Debt consolidation,C4,loan paid
531586,49852.45,0.166,598,17752.23,11.03,Female,Married,Bachelor's,Employed,Other,E1,loan default
199652,24973.49,0.16,569,19116.51,12.09,Female,Married,Other,Employed,Debt consolidation,F1,loan paid
528069,104529.56,0.073,725,7332.78,9.02,Other,Single,High School,Self-employed,Debt consolidation,C4,loan paid
375130,65639.06,0.067,659,22849.66,15.87,Female,Married,Bachelor's,Employed,Debt consolidation,D1,loan paid
121308,29762.32,0.039,686,17561.57,13.93,Male,Single,Bachelor's,Employed,Debt consolidation,C5,loan paid
147711,53104.66,0.113,528,6684.96,13.47,Female,Single,Bachelor's,Unemployed,Debt consolidation,F2,loan default
19494,24249.96,0.295,651,8402.26,13.92,Female,Single,Bachelor's,Employed,Debt consolidation,D4,loan paid
167522,76973.3,0.09,643,10965.21,13.94,Male,Married,High School,Employed,Debt consolidation,D1,loan paid
465556,61428.94,0.068,631,14313.57,13.34,Male,Single,Bachelor's,Student,Debt consolidation,D1,loan default
493156,72961.29,0.191,586,5353.49,11.26,Female,Married,Bachelor's,Self-employed,Debt consolidation,E1,loan default
489485,33456.27,0.184,638,16174.13,13.37,Male,Married,Bachelor's,Unemployed,Education,D1,loan default
444145,37388.1,0.096,653,21524.85,14.64,Female,Single,High School,Employed,Business,D5,loan paid
322343,52312.71,0.105,679,12329.13,11.43,Female,Married,Master's,Employed,Home,C3,loan paid
401425,63543.71,0.166,603,13530.04,15.99,Female,Married,Bachelor's,Unemployed,Debt consolidation,E1,loan default
582605,86418.8,0.095,621,22199.13,16.53,Male,Married,Bachelor's,Employed,Education,D3,loan paid
191266,154926.77,0.056,602,16752.93,15.16,Female,Married,Master's,Employed,Medical,E5,loan paid
218791,81032.55,0.077,701,22568.98,14.6,Female,Single,High School,Employed,Home,C1,loan paid
418535,121224.03,0.049,651,17553.64,12.46,Female,Married,High School,Employed,Other,D1,loan paid
457808,23103.63,0.099,728,14302.46,12.73,Female,Single,Bachelor's,Self-employed,Debt consolidation,C1,loan paid
562949,38795.54,0.091,699,18889.11,12.47,Female,Single,High School,Employed,Debt consolidation,C3,loan paid
559174,95522.72,0.095,646,13027.89,11.07,Male,Single,Bachelor's,Employed,Medical,D2,loan paid
184720,69353.21,0.136,536,7377.16,16.64,Female,Married,High School,Unemployed,Debt consolidation,F2,loan default
271960,18172.37,0.176,745,17486.2,9.9,Male,Single,High School,Employed,Home,B5,loan paid
437013,36507.17,0.057,751,12487.59,8.97,Male,Divorced,Bachelor's,Retired,Debt consolidation,B5,loan paid
434695,62846.12,0.166,688,9076.99,13.3,Female,Single,High School,Employed,Education,C2,loan paid
320148,26187.15,0.268,648,7443.63,15.91,Female,Single,Bachelor's,Student,Debt consolidation,D4,loan default
204315,63548.83,0.147,813,2149.52,9.72,Female,Single,High School,Self-employed,Debt consolidation,A3,loan paid
430351,63430.15,0.166,782,17302.01,9.8,Female,Married,Master's,Employed,Debt consolidation,B5,loan default
81568,27307.6,0.087,757,11098.07,10.21,Female,Single,High School,Retired,Home,B2,loan paid
126551,67554.67,0.062,594,19191.39,15.48,Female,Single,Bachelor's,Employed,Debt consolidation,E5,loan default
299268,28306.88,0.087,536,14042.64,16.03,Male,Single,Bachelor's,Employed,Debt consolidation,F4,loan default
48402,55884.64,0.187,693,16166.39,10.36,Male,Single,Bachelor's,Employed,Debt consolidation,C4,loan paid
202199,23709.14,0.072,724,20961.62,11.82,Male,Single,Bachelor's,Employed,Other,C1,loan paid
121950,76513.74,0.068,710,23598.98,15.92,Male,Single,Bachelor's,Employed,Medical,C1,loan paid
264963,18112.2,0.125,651,17486.87,12.81,Female,Single,Bachelor's,Employed,Business,D4,loan paid
324428,28646.98,0.087,660,15999.34,12.23,Female,Married,PhD,Employed,Debt consolidation,D5,loan paid
84477,45627.53,0.154,655,23916.65,12.41,Female,Single,High School,Employed,Education,D4,loan default
334619,40641.62,0.037,592,12252.31,14.74,Male,Married,Bachelor's,Employed,Car,E4,loan paid
278458,15252.51,0.309,653,25435.77,12.55,Male,Single,Bachelor's,Employed,Debt consolidation,D3,loan default
128058,123901.71,0.119,664,2538.13,13.02,Male,Single,Bachelor's,Employed,Debt consolidation,D1,loan paid
313104,40257.66,0.084,646,11395.26,12.56,Male,Married,High School,Self-employed,Education,D3,loan paid
506578,47869.31,0.096,754,14835.4,10.4,Male,Married,Master's,Employed,Medical,B2,loan paid
141791,53870.03,0.04,709,20689.08,12.08,Female,Single,Bachelor's,Employed,Car,C4,loan paid
426378,23920.35,0.065,678,11220.48,13.7,Female,Single,High School,Employed,Debt consolidation,C2,loan paid
323353,73400.9,0.142,722,17054.39,13.83,Male,Single,High School,Employed,Debt consolidation,C3,loan paid
233918,52628.99,0.093,575,12092.93,13.87,Female,Single,High School,Employed,Debt consolidation,F4,loan paid
114353,81432.1,0.038,678,1796.14,12.81,Male,Married,Other,Employed,Debt consolidation,C4,loan paid
70321,70414.62,0.084,611,23014.86,12.17,Female,Single,Master's,Employed,Debt consolidation,D3,loan paid
156657,35105.5,0.195,674,16502.71,12.96,Female,Single,Bachelor's,Employed,Debt consolidation,C3,loan default
313159,52320.09,0.062,742,6175.73,10.66,Female,Married,Other,Employed,Debt consolidation,B2,loan paid
19963,62798.76,0.038,571,13576.75,14.99,Female,Married,High School,Self-employed,Debt consolidation,F1,loan paid
591982,69998.73,0.098,723,14095.66,11.71,Female,Divorced,Bachelor's,Unemployed,Other,C4,loan paid
419982,13332.87,0.147,576,17332.75,13.87,Male,Single,Bachelor's,Employed,Debt consolidation,F3,loan paid
406758,49549.72,0.084,743,17802.62,10.21,Female,Married,Bachelor's,Employed,Debt consolidation,B4,loan paid
169416,28399.86,0.232,639,25141.82,8.39,Female,Widowed,Bachelor's,Employed,Debt consolidation,D4,loan paid
346692,46254.12,0.164,638,19313.34,13.56,Male,Single,Bachelor's,Employed,Debt consolidation,D1,loan default
361948,63478.4,0.103,658,16190.27,16.24,Male,Married,Bachelor's,Self-employed,Debt consolidation,D5,loan paid
357282,57125.99,0.099,691,14924.06,9.86,Male,Married,Bachelor's,Employed,Debt consolidation,C3,loan paid
304367,72362.96,0.122,739,7231.61,10.79,Female,Married,Bachelor's,Employed,Other,C1,loan default
241678,53532.69,0.065,657,7494.08,12.74,Male,Single,High School,Employed,Other,D4,loan paid
239709,17795.89,0.054,677,23585.26,13.26,Female,Married,High School,Self-employed,Debt consolidation,C2,loan paid
362057,45627.53,0.2,730,20346.87,11.11,Female,Single,Bachelor's,Employed,Home,C3,loan paid
286756,55415.72,0.063,652,14223.92,16.3,Male,Single,Master's,Employed,Debt consolidation,D3,loan paid
113897,11042.01,0.284,623,12105.96,12.9,Male,Married,Bachelor's,Employed,Home,D2,loan default
4827,48385.83,0.186,721,16385.08,12.81,Male,Married,Bachelor's,Employed,Debt consolidation,C3,loan paid
191607,23386.64,0.084,622,17676.83,10.86,Male,Married,Other,Retired,Car,D3,loan paid
55420,62428.77,0.134,645,34355.72,13.75,Female,Married,PhD,Self-employed,Vacation,D5,loan paid
575108,43151.18,0.118,648,17644.02,11.52,Male,Single,Bachelor's,Employed,Debt consolidation,D2,loan paid
295652,59499.89,0.109,645,7284.29,14.79,Female,Single,High School,Unemployed,Debt consolidation,D4,loan default
385467,51639.7,0.061,664,7702.75,13.54,Female,Single,Master's,Employed,Debt consolidation,D1,loan paid
580962,30696.29,0.056,572,10596.98,12.55,Female,Married,High School,Employed,Debt consolidation,F2,loan paid
119494,13352.93,0.071,602,12674.44,14.94,Male,Married,High School,Employed,Other,E3,loan paid
122238,7422.38,0.2,749,4679.87,12.52,Female,Married,High School,Employed,Debt consolidation,B2,loan paid
161709,24341.32,0.099,688,5783.89,13.95,Male,Married,High School,Employed,Medical,C1,loan paid
384496,24240.19,0.061,749,22129.74,11.13,Male,Single,Bachelor's,Employed,Debt consolidation,B5,loan paid
464293,66599.92,0.113,785,15303.66,11.1,Male,Single,Master's,Employed,Debt consolidation,B4,loan paid
565062,28424.82,0.239,727,15784.57,12.29,Male,Single,Bachelor's,Employed,Debt consolidation,C1,loan default
116586,71710.81,0.097,719,17562.24,12.5,Female,Single,High School,Employed,Other,C4,loan paid
570185,39462.88,0.21,718,14407.02,12.69,Male,Single,Bachelor's,Self-employed,Debt consolidation,C5,loan default
514659,26659.66,0.074,721,17709.55,10.49,Male,Single,Bachelor's,Employed,Debt consolidation,C5,loan paid
173686,20263.45,0.086,633,5593.68,11.85,Male,Married,High School,Retired,Debt consolidation,D5,loan paid
94792,20338.06,0.086,729,21081.25,10.96,Male,Single,Bachelor's,Employed,Debt consolidation,C1,loan paid
89869,34305.52,0.098,627,14062.92,14.33,Female,Married,Bachelor's,Unemployed,Education,D2,loan default
80256,59352.18,0.114,661,13874.75,12.86,Female,Single,High School,Employed,Car,D3,loan paid
160172,16376.43,0.097,814,3010.32,9.58,Female,Married,Bachelor's,Employed,Debt consolidation,A2,loan paid
353083,38216.11,0.086,739,25374.76,11.91,Male,Married,High School,Employed,Debt consolidation,C3,loan paid
98079,15488.78,0.18,614,5676.49,13.18,Male,Married,High School,Student,Education,D4,loan default
445611,29803.36,0.093,669,28199.56,13.34,Female,Divorced,Bachelor's,Student,Vacation,D3,loan default
202616,13408.09,0.105,675,10865.19,14.09,Female,Single,Bachelor's,Employed,Vacation,C5,loan paid
60522,12551.62,0.061,716,12551.08,10.04,Female,Single,Bachelor's,Retired,Home,C4,loan paid
241566,39344.05,0.164,757,23194.61,12.75,Male,Single,Bachelor's,Employed,Home,B3,loan paid
279588,88838.04,0.086,608,17791.74,14.64,Male,Married,Bachelor's,Employed,Car,E3,loan paid
116881,51330.25,0.087,725,29110.2,12.21,Female,Married,Bachelor's,Employed,Debt consolidation,C2,loan paid
295037,53431.07,0.264,716,25149.87,12.34,Female,Single,Bachelor's,Employed,Car,C2,loan paid
175546,26573.58,0.093,767,14809.51,9.95,Female,Married,Bachelor's,Employed,Debt consolidation,B5,loan paid
397990,66494.2,0.115,652,26809.19,11.07,Male,Single,Bachelor's,Employed,Debt consolidation,D1,loan paid
559835,37992.63,0.135,679,29370.63,12.58,Male,Single,Bachelor's,Employed,Debt consolidation,C4,loan paid
240224,28600.62,0.087,664,8563.3,12.04,Female,Single,Master's,Employed,Debt consolidation,D2,loan paid
208157,58548.47,0.272,668,2588.51,13.42,Female,Single,Bachelor's,Employed,Debt consolidation,D5,loan paid
378274,23808.86,0.118,763,9676.68,9.55,Male,Married,Bachelor's,Employed,Debt consolidation,B1,loan paid
572292,58581.43,0.185,734,27552.36,12.76,Male,Single,Bachelor's,Retired,Other,C3,loan paid
326582,26149.84,0.116,713,7693.65,11.45,Male,Married,High School,Employed,Debt consolidation,C5,loan paid
440080,61747.76,0.09,743,6802.54,10.84,Female,Single,Master's,Employed,Debt consolidation,B2,loan paid
226678,23007.22,0.269,595,14076.62,11.94,Female,Divorced,Bachelor's,Unemployed,Debt consolidation,E4,loan default
57299,122917.32,0.078,695,7520.01,12.0,Female,Married,High School,Employed,Car,C4,loan paid
105501,25212.35,0.173,751,14372.49,13.42,Female,Single,High School,Employed,Debt consolidation,B4,loan paid
438116,170524.3,0.077,594,13197.11,12.82,Male,Married,High School,Student,Home,E2,loan default
89025,92904.77,0.05,722,11588.51,12.0,Female,Married,Other,Employed,Debt consolidation,C4,loan paid
325183,77575.26,0.087,751,17148.54,12.55,Male,Married,Bachelor's,Employed,Home,B4,loan paid
430073,62226.32,0.265,598,17586.12,13.13,Male,Married,High School,Unemployed,Debt consolidation,E2,loan default
26588,49804.2,0.148,726,15278.27,12.3,Male,Married,Other,Employed,Other,C3,loan paid
266241,14450.09,0.071,569,18702.93,14.38,Male,Divorced,Other,Employed,Debt consolidation,F2,loan paid
75289,55743.7,0.24,688,23453.96,12.46,Male,Single,Bachelor's,Employed,Debt consolidation,C4,loan paid
